second,Volt,Volt
-2.195000E-03,-536.713562E-03,+0.0E+00
-2.192500E-03,-516.613060E-03,+0.0E+00
-2.190000E-03,-516.613060E-03,+804.020E-06
-2.187500E-03,-536.713562E-03,-804.020E-06
-2.185000E-03,-516.613060E-03,+0.0E+00
-2.182500E-03,-516.613060E-03,+0.0E+00
-2.180000E-03,-516.613060E-03,+0.0E+00
-2.177500E-03,-516.613060E-03,-0.0E+00
-2.175000E-03,-496.512557E-03,-0.0E+00
-2.172500E-03,-516.613060E-03,+0.0E+00
-2.170000E-03,-496.512557E-03,+0.0E+00
-2.167500E-03,-496.512557E-03,-0.0E+00
-2.165000E-03,-476.412055E-03,+0.0E+00
-2.162500E-03,-456.311553E-03,+0.0E+00
-2.160000E-03,-456.311553E-03,+804.020E-06
-2.157500E-03,-456.311553E-03,-0.0E+00
-2.155000E-03,-456.311553E-03,+0.0E+00
-2.152500E-03,-416.110548E-03,+0.0E+00
-2.150000E-03,-416.110548E-03,+0.0E+00
-2.147500E-03,-416.110548E-03,+804.020E-06
-2.145000E-03,-416.110548E-03,+0.0E+00
-2.142500E-03,-436.211050E-03,+804.020E-06
-2.140000E-03,-396.010046E-03,+0.0E+00
-2.137500E-03,-375.909544E-03,+804.020E-06
-2.135000E-03,-396.010046E-03,+0.0E+00
-2.132500E-03,-396.010046E-03,+0.0E+00
-2.130000E-03,-375.909544E-03,+0.0E+00
-2.127500E-03,-335.708539E-03,+0.0E+00
-2.125000E-03,-355.809041E-03,+0.0E+00
-2.122500E-03,-355.809041E-03,+804.020E-06
-2.120000E-03,-335.708539E-03,+0.0E+00
-2.117500E-03,-335.708539E-03,+0.0E+00
-2.115000E-03,-315.608037E-03,+0.0E+00
-2.112500E-03,-315.608037E-03,+0.0E+00
-2.110000E-03,-315.608037E-03,+0.0E+00
-2.107500E-03,-315.608037E-03,+804.020E-06
-2.105000E-03,-335.708539E-03,+0.0E+00
-2.102500E-03,-295.507534E-03,+804.020E-06
-2.100000E-03,-295.507534E-03,+0.0E+00
-2.097500E-03,-275.407032E-03,+0.0E+00
-2.095000E-03,-275.407032E-03,+0.0E+00
-2.092500E-03,-275.407032E-03,+0.0E+00
-2.090000E-03,-255.306530E-03,+0.0E+00
-2.087500E-03,-235.206028E-03,+0.0E+00
-2.085000E-03,-255.306530E-03,+0.0E+00
-2.082500E-03,-235.206028E-03,+804.020E-06
-2.080000E-03,-235.206028E-03,+0.0E+00
-2.077500E-03,-235.206028E-03,+0.0E+00
-2.075000E-03,-215.105525E-03,+804.020E-06
-2.072500E-03,-215.105525E-03,+0.0E+00
-2.070000E-03,-195.005023E-03,+804.020E-06
-2.067500E-03,-195.005023E-03,+804.020E-06
-2.065000E-03,-195.005023E-03,+0.0E+00
-2.062500E-03,-174.904521E-03,+0.0E+00
-2.060000E-03,-174.904521E-03,+804.020E-06
-2.057500E-03,-174.904521E-03,+1.608040E-03
-2.055000E-03,-134.703516E-03,+804.020E-06
-2.052500E-03,-134.703516E-03,+0.0E+00
-2.050000E-03,-154.804018E-03,+0.0E+00
-2.047500E-03,-134.703516E-03,+0.0E+00
-2.045000E-03,-114.603014E-03,+0.0E+00
-2.042500E-03,-114.603014E-03,+0.0E+00
-2.040000E-03,-114.603014E-03,+804.020E-06
-2.037500E-03,-114.603014E-03,+0.0E+00
-2.035000E-03,-94.502511E-03,+0.0E+00
-2.032500E-03,-94.502511E-03,+804.020E-06
-2.030000E-03,-94.502511E-03,+804.020E-06
-2.027500E-03,-74.402009E-03,+1.608040E-03
-2.025000E-03,-74.402009E-03,+0.0E+00
-2.022500E-03,-74.402009E-03,+804.020E-06
-2.020000E-03,-54.301507E-03,+804.020E-06
-2.017500E-03,-54.301507E-03,+804.020E-06
-2.015000E-03,-34.201005E-03,+804.020E-06
-2.012500E-03,-34.201005E-03,+804.020E-06
-2.010000E-03,-14.100502E-03,+0.0E+00
-2.007500E-03,-14.100502E-03,+0.0E+00
-2.005000E-03,-14.100502E-03,+804.020E-06
-2.002500E-03,+6.000000E-03,+804.020E-06
-2.000000E-03,+6.000000E-03,+804.020E-06
-1.997500E-03,+6.000000E-03,+804.020E-06
-1.995000E-03,+26.100502E-03,+1.608040E-03
-1.992500E-03,+26.100502E-03,+804.020E-06
-1.990000E-03,+6.000000E-03,+804.020E-06
