second,Volt,Volt
-8.7840E-03,+329.6482E-03,-241.2E-06
-8.7740E-03,+337.6884E-03,-160.8E-06
-8.7640E-03,+337.6884E-03,-0.0E+00
-8.7540E-03,+337.6884E-03,-402.0E-06
-8.7440E-03,+337.6884E-03,-241.2E-06
-8.7340E-03,+345.7286E-03,-241.2E-06
-8.7240E-03,+345.7286E-03,+402.0E-06
-8.7140E-03,+345.7286E-03,-160.8E-06
-8.7040E-03,+345.7286E-03,+80.4E-06
-8.6940E-03,+345.7286E-03,-321.6E-06
-8.6840E-03,+353.7688E-03,-321.6E-06
-8.6740E-03,+345.7286E-03,+0.0E+00
-8.6640E-03,+353.7688E-03,-160.8E-06
-8.6540E-03,+353.7688E-03,-0.0E+00
-8.6440E-03,+361.8090E-03,-321.6E-06
-8.6340E-03,+361.8090E-03,-80.4E-06
-8.6240E-03,+361.8090E-03,-160.8E-06
-8.6140E-03,+361.8090E-03,-0.0E+00
-8.6040E-03,+361.8090E-03,-160.8E-06
-8.5940E-03,+369.8492E-03,-80.4E-06
-8.5840E-03,+369.8492E-03,-0.0E+00
-8.5740E-03,+361.8090E-03,+80.4E-06
-8.5640E-03,+385.9296E-03,-80.4E-06
-8.5540E-03,+377.8894E-03,+0.0E+00
-8.5440E-03,+369.8492E-03,-160.8E-06
-8.5340E-03,+377.8894E-03,-241.2E-06
-8.5240E-03,+377.8894E-03,-80.4E-06
-8.5140E-03,+377.8894E-03,-80.4E-06
-8.5040E-03,+385.9296E-03,-160.8E-06
-8.4940E-03,+385.9296E-03,-0.0E+00
-8.4840E-03,+393.9698E-03,-80.4E-06
-8.4740E-03,+385.9296E-03,-241.2E-06
-8.4640E-03,+393.9698E-03,-160.8E-06
-8.4540E-03,+393.9698E-03,-80.4E-06
-8.4440E-03,+393.9698E-03,-80.4E-06
-8.4340E-03,+393.9698E-03,-402.0E-06
-8.4240E-03,+402.0100E-03,-402.0E-06
-8.4140E-03,+402.0100E-03,+160.8E-06
-8.4040E-03,+410.0502E-03,+0.0E+00
-8.3940E-03,+402.0100E-03,-241.2E-06
-8.3840E-03,+410.0502E-03,-80.4E-06
-8.3740E-03,+410.0502E-03,-482.4E-06
-8.3640E-03,+410.0502E-03,-321.6E-06
-8.3540E-03,+410.0502E-03,-80.4E-06
-8.3440E-03,+410.0502E-03,-80.4E-06
-8.3340E-03,+418.0904E-03,-160.8E-06
-8.3240E-03,+410.0502E-03,-0.0E+00
-8.3140E-03,+418.0904E-03,+160.8E-06
-8.3040E-03,+418.0904E-03,+241.2E-06
-8.2940E-03,+418.0904E-03,-160.8E-06
-8.2840E-03,+418.0904E-03,-80.4E-06
