second,Volt,Volt
-2.500000E-03,-187.744722E-03,-402.010E-06
-2.497500E-03,-195.784922E-03,-804.020E-06
-2.495000E-03,-187.744722E-03,-402.010E-06
-2.492500E-03,-195.784922E-03,-804.020E-06
-2.490000E-03,-191.764822E-03,-402.010E-06
-2.487500E-03,-195.784922E-03,-804.020E-06
-2.485000E-03,-187.744722E-03,-402.010E-06
-2.482500E-03,-191.764822E-03,-0.0E+00
-2.480000E-03,-191.764822E-03,-402.010E-06
-2.477500E-03,-191.764822E-03,-804.020E-06
-2.475000E-03,-191.764822E-03,-804.020E-06
-2.472500E-03,-191.764822E-03,-402.010E-06
-2.470000E-03,-187.744722E-03,-402.010E-06
-2.467500E-03,-191.764822E-03,-0.0E+00
-2.465000E-03,-187.744722E-03,-402.010E-06
-2.462500E-03,-191.764822E-03,-402.010E-06
-2.460000E-03,-191.764822E-03,-402.010E-06
-2.457500E-03,-191.764822E-03,-804.020E-06
-2.455000E-03,-195.784922E-03,-804.020E-06
-2.452500E-03,-191.764822E-03,-804.020E-06
-2.450000E-03,-187.744722E-03,-402.010E-06
-2.447500E-03,-187.744722E-03,-402.010E-06
-2.445000E-03,-187.744722E-03,-402.010E-06
-2.442500E-03,-187.744722E-03,-402.010E-06
-2.440000E-03,-187.744722E-03,-402.010E-06
-2.437500E-03,-187.744722E-03,-402.010E-06
-2.435000E-03,-191.764822E-03,-0.0E+00
-2.432500E-03,-191.764822E-03,-804.020E-06
-2.430000E-03,-187.744722E-03,-402.010E-06
-2.427500E-03,-187.744722E-03,+0.0E+00
-2.425000E-03,-187.744722E-03,-804.020E-06
-2.422500E-03,-187.744722E-03,-402.010E-06
-2.420000E-03,-187.744722E-03,-0.0E+00
-2.417500E-03,-187.744722E-03,-804.020E-06
-2.415000E-03,-183.724621E-03,-402.010E-06
-2.412500E-03,-187.744722E-03,-402.010E-06
-2.410000E-03,-183.724621E-03,-0.0E+00
-2.407500E-03,-187.744722E-03,-402.010E-06
-2.405000E-03,-183.724621E-03,-402.010E-06
-2.402500E-03,-183.724621E-03,-402.010E-06
-2.400000E-03,-183.724621E-03,-804.020E-06
-2.397500E-03,-183.724621E-03,-804.020E-06
-2.395000E-03,-187.744722E-03,+0.0E+00
-2.392500E-03,-183.724621E-03,-402.010E-06
-2.390000E-03,-183.724621E-03,-402.010E-06
-2.387500E-03,-183.724621E-03,-402.010E-06
-2.385000E-03,-179.704521E-03,-402.010E-06
-2.382500E-03,-183.724621E-03,-0.0E+00
-2.380000E-03,-179.704521E-03,-0.0E+00
-2.377500E-03,-179.704521E-03,-402.010E-06
-2.375000E-03,-183.724621E-03,-804.020E-06
-2.372500E-03,-183.724621E-03,-402.010E-06
-2.370000E-03,-175.684420E-03,-402.010E-06
-2.367500E-03,-179.704521E-03,-0.0E+00
-2.365000E-03,-179.704521E-03,+402.010E-06
-2.362500E-03,-179.704521E-03,-402.010E-06
-2.360000E-03,-175.684420E-03,-804.020E-06
-2.357500E-03,-179.704521E-03,-804.020E-06
-2.355000E-03,-175.684420E-03,-402.010E-06
