second,Volt,Volt
-2.500000E-03,-568.454265E-03,-402.010E-06
-2.497500E-03,-576.494466E-03,-402.010E-06
-2.495000E-03,-576.494466E-03,-402.010E-06
-2.492500E-03,-576.494466E-03,-0.0E+00
-2.490000E-03,-568.454265E-03,-402.010E-06
-2.487500E-03,-568.454265E-03,-0.0E+00
-2.485000E-03,-568.454265E-03,-804.020E-06
-2.482500E-03,-568.454265E-03,-402.010E-06
-2.480000E-03,-576.494466E-03,-0.0E+00
-2.477500E-03,-576.494466E-03,-0.0E+00
-2.475000E-03,-568.454265E-03,+402.010E-06
-2.472500E-03,-568.454265E-03,+402.010E-06
-2.470000E-03,-576.494466E-03,-402.010E-06
-2.467500E-03,-576.494466E-03,-402.010E-06
-2.465000E-03,-568.454265E-03,-402.010E-06
-2.462500E-03,-568.454265E-03,-1.206030E-03
-2.460000E-03,-568.454265E-03,-402.010E-06
-2.457500E-03,-568.454265E-03,-0.0E+00
-2.455000E-03,-568.454265E-03,-402.010E-06
-2.452500E-03,-568.454265E-03,+0.0E+00
-2.450000E-03,-568.454265E-03,-402.010E-06
-2.447500E-03,-568.454265E-03,-402.010E-06
-2.445000E-03,-568.454265E-03,-402.010E-06
-2.442500E-03,-560.414064E-03,-0.0E+00
-2.440000E-03,-560.414064E-03,-402.010E-06
-2.437500E-03,-568.454265E-03,-402.010E-06
-2.435000E-03,-560.414064E-03,-0.0E+00
-2.432500E-03,-560.414064E-03,-402.010E-06
-2.430000E-03,-568.454265E-03,-0.0E+00
-2.427500E-03,-560.414064E-03,-402.010E-06
-2.425000E-03,-560.414064E-03,-0.0E+00
-2.422500E-03,-560.414064E-03,-0.0E+00
-2.420000E-03,-560.414064E-03,-402.010E-06
-2.417500E-03,-552.373863E-03,-0.0E+00
-2.415000E-03,-552.373863E-03,-402.010E-06
-2.412500E-03,-552.373863E-03,+0.0E+00
-2.410000E-03,-544.333662E-03,-804.020E-06
-2.407500E-03,-544.333662E-03,-402.010E-06
-2.405000E-03,-544.333662E-03,-0.0E+00
-2.402500E-03,-552.373863E-03,+0.0E+00
