second,Volt
+32.10000E-06,-11.35678380E-03
+32.15000E-06,-12.86432147E-03
+32.20000E-06,-15.17587923E-03
+32.25000E-06,-16.88442193E-03
+32.30000E-06,-17.68844202E-03
+32.35000E-06,-19.99999979E-03
+32.40000E-06,-20.90452239E-03
+32.45000E-06,-22.51256257E-03
+32.50000E-06,-23.31658266E-03
+32.55000E-06,-24.92462285E-03
+32.60000E-06,-25.72864294E-03
+32.65000E-06,-26.53266303E-03
+32.70000E-06,-28.14070322E-03
+32.75000E-06,-28.94472331E-03
+32.80000E-06,-29.74874340E-03
+32.85000E-06,-31.35678358E-03
+32.90000E-06,-31.45728610E-03
+32.95000E-06,-32.16080368E-03
+33.00000E-06,-32.96482377E-03
+33.05000E-06,-33.86934637E-03
+33.10000E-06,-34.57286395E-03
+33.15000E-06,-34.57286395E-03
+33.20000E-06,-35.37688404E-03
+33.25000E-06,-35.37688404E-03
+33.30000E-06,-36.18090414E-03
+33.35000E-06,-36.18090414E-03
+33.40000E-06,-36.18090414E-03
+33.45000E-06,-36.98492423E-03
+33.50000E-06,-36.98492423E-03
+33.55000E-06,-36.98492423E-03
+33.60000E-06,-36.98492423E-03
+33.65000E-06,-36.98492423E-03
+33.70000E-06,-36.98492423E-03
+33.75000E-06,-36.98492423E-03
+33.80000E-06,-36.98492423E-03
+33.85000E-06,-36.18090414E-03
+33.90000E-06,-36.98492423E-03
+33.95000E-06,-35.37688404E-03
+34.00000E-06,-35.37688404E-03
+34.05000E-06,-33.86934637E-03
+34.10000E-06,-32.96482377E-03
+34.15000E-06,-32.16080368E-03
+34.20000E-06,-30.55276349E-03
+34.25000E-06,-29.64824089E-03
+34.30000E-06,-27.33668312E-03
+34.35000E-06,-24.92462285E-03
+34.40000E-06,-23.31658266E-03
+34.45000E-06,-20.90452239E-03
+34.50000E-06,-18.49246211E-03
+34.55000E-06,-16.08040184E-03
+34.60000E-06,-13.66834156E-03
+34.65000E-06,-11.25628129E-03
+34.70000E-06,-8.84422101E-03
+34.75000E-06,-5.62814064E-03
+34.80000E-06,-2.41206028E-03
+34.85000E-06,+0.0E+00
+34.90000E-06,+2.41206028E-03
+34.95000E-06,+4.82412055E-03
+35.00000E-06,+8.04020092E-03
+35.05000E-06,+10.45226119E-03
+35.10000E-06,+12.86432147E-03
+35.15000E-06,+15.27638175E-03
+35.20000E-06,+17.68844202E-03
+35.25000E-06,+20.20100481E-03
+35.30000E-06,+22.51256257E-03
+35.35000E-06,+24.92462285E-03
+35.40000E-06,+27.33668312E-03
+35.45000E-06,+28.94472331E-03
+35.50000E-06,+31.35678358E-03
+35.55000E-06,+32.96482377E-03
+35.60000E-06,+36.18090414E-03
+35.65000E-06,+36.98492423E-03
+35.70000E-06,+39.39698450E-03
+35.75000E-06,+41.00502469E-03
+35.80000E-06,+42.51256236E-03
+35.85000E-06,+43.41708496E-03
+35.90000E-06,+45.02512515E-03
+35.95000E-06,+46.63316533E-03
+36.00000E-06,+47.43718542E-03
+36.05000E-06,+48.34170803E-03
+36.10000E-06,+49.84924570E-03
+36.15000E-06,+50.65326579E-03
+36.20000E-06,+50.65326579E-03
+36.25000E-06,+51.45728588E-03
+36.30000E-06,+52.26130597E-03
+36.35000E-06,+53.06532606E-03
+36.40000E-06,+53.86934616E-03
+36.45000E-06,+53.86934616E-03
+36.50000E-06,+53.96984867E-03
+36.55000E-06,+53.86934616E-03
+36.60000E-06,+53.86934616E-03
+36.65000E-06,+54.67336625E-03
+36.70000E-06,+55.47738634E-03
+36.75000E-06,+54.67336625E-03
+36.80000E-06,+54.67336625E-03
+36.85000E-06,+54.67336625E-03
+36.90000E-06,+54.57286374E-03
+36.95000E-06,+54.57286374E-03
+37.00000E-06,+53.86934616E-03
+37.05000E-06,+53.06532606E-03
+37.10000E-06,+52.26130597E-03
+37.15000E-06,+52.16080346E-03
+37.20000E-06,+50.65326579E-03
+37.25000E-06,+49.84924570E-03
+37.30000E-06,+49.84924570E-03
+37.35000E-06,+49.04522561E-03
+37.40000E-06,+48.24120551E-03
+37.45000E-06,+47.33668291E-03
+37.50000E-06,+46.63316533E-03
+37.55000E-06,+45.02512515E-03
+37.60000E-06,+45.02512515E-03
+37.65000E-06,+44.12060254E-03
+37.70000E-06,+42.61306487E-03
+37.75000E-06,+42.61306487E-03
+37.80000E-06,+41.80904478E-03
+37.85000E-06,+40.20100459E-03
+37.90000E-06,+40.10050208E-03
+37.95000E-06,+38.59296441E-03
+38.00000E-06,+36.98492423E-03
+38.05000E-06,+36.18090414E-03
+38.10000E-06,+35.37688404E-03
+38.15000E-06,+34.57286395E-03
+38.20000E-06,+32.96482377E-03
+38.25000E-06,+32.86432126E-03
+38.30000E-06,+31.35678358E-03
+38.35000E-06,+30.55276349E-03
+38.40000E-06,+29.64824089E-03
+38.45000E-06,+28.94472331E-03
+38.50000E-06,+28.14070322E-03
+38.55000E-06,+27.33668312E-03
+38.60000E-06,+26.53266303E-03
+38.65000E-06,+24.92462285E-03
+38.70000E-06,+24.12060276E-03
+38.75000E-06,+22.51256257E-03
+38.80000E-06,+22.41206006E-03
+38.85000E-06,+20.90452239E-03
+38.90000E-06,+20.10050230E-03
+38.95000E-06,+19.29648221E-03
+39.00000E-06,+18.49246211E-03
+39.05000E-06,+16.88442193E-03
+39.10000E-06,+16.88442193E-03
+39.15000E-06,+15.27638175E-03
+39.20000E-06,+14.37185914E-03
+39.25000E-06,+13.66834156E-03
+39.30000E-06,+12.86432147E-03
+39.35000E-06,+11.95979887E-03
+39.40000E-06,+11.15577877E-03
+39.45000E-06,+9.64824110E-03
+39.50000E-06,+8.84422101E-03
+39.55000E-06,+8.04020092E-03
+39.60000E-06,+7.23618083E-03
+39.65000E-06,+6.43216074E-03
+39.70000E-06,+6.43216074E-03
+39.75000E-06,+5.62814064E-03
+39.80000E-06,+4.82412055E-03
+39.85000E-06,+4.82412055E-03
+39.90000E-06,+4.02010046E-03
+39.95000E-06,+3.21608037E-03
+40.00000E-06,+3.31658288E-03
+40.05000E-06,+3.21608037E-03
+40.10000E-06,+2.51256279E-03
+40.15000E-06,+1.60804018E-03
+40.20000E-06,+2.31155776E-03
+40.25000E-06,+1.60804018E-03
+40.30000E-06,+804.02009E-06
+40.35000E-06,+804.02009E-06
+40.40000E-06,+100.50251E-06
+40.45000E-06,+0.0E+00
+40.50000E-06,+0.0E+00
+40.55000E-06,-804.02009E-06
+40.60000E-06,-804.02009E-06
+40.65000E-06,-904.52260E-06
+40.70000E-06,-1.60804018E-03
+40.75000E-06,-2.31155776E-03
+40.80000E-06,-2.41206028E-03
+40.85000E-06,-3.21608037E-03
+40.90000E-06,-4.02010046E-03
+40.95000E-06,-4.02010046E-03
+41.00000E-06,-4.02010046E-03
+41.05000E-06,-4.82412055E-03
+41.10000E-06,-4.82412055E-03
+41.15000E-06,-4.82412055E-03
+41.20000E-06,-4.82412055E-03
+41.25000E-06,-4.82412055E-03
+41.30000E-06,-5.62814064E-03
+41.35000E-06,-4.82412055E-03
+41.40000E-06,-5.62814064E-03
+41.45000E-06,-4.92462306E-03
+41.50000E-06,-5.62814064E-03
+41.55000E-06,-5.62814064E-03
+41.60000E-06,-5.62814064E-03
+41.65000E-06,-6.43216074E-03
+41.70000E-06,-5.62814064E-03
+41.75000E-06,-6.43216074E-03
+41.80000E-06,-5.62814064E-03
+41.85000E-06,-6.43216074E-03
+41.90000E-06,-6.43216074E-03
+41.95000E-06,-5.62814064E-03
+42.00000E-06,-5.62814064E-03
+42.05000E-06,-5.62814064E-03
+42.10000E-06,-4.82412055E-03
+42.15000E-06,-5.62814064E-03
+42.20000E-06,-6.33165822E-03
+42.25000E-06,-5.62814064E-03
+42.30000E-06,-6.43216074E-03
+42.35000E-06,-6.43216074E-03
+42.40000E-06,-6.43216074E-03
+42.45000E-06,-5.62814064E-03
+42.50000E-06,-6.43216074E-03
+42.55000E-06,-6.43216074E-03
+42.60000E-06,-5.62814064E-03
+42.65000E-06,-5.62814064E-03
+42.70000E-06,-6.43216074E-03
+42.75000E-06,-5.62814064E-03
+42.80000E-06,-6.33165822E-03
+42.85000E-06,-5.62814064E-03
+42.90000E-06,-5.62814064E-03
+42.95000E-06,-5.62814064E-03
+43.00000E-06,-5.62814064E-03
+43.05000E-06,-5.62814064E-03
+43.10000E-06,-5.62814064E-03
+43.15000E-06,-5.62814064E-03
+43.20000E-06,-5.62814064E-03
+43.25000E-06,-5.62814064E-03
+43.30000E-06,-5.62814064E-03
+43.35000E-06,-6.43216074E-03
+43.40000E-06,-5.62814064E-03
+43.45000E-06,-5.62814064E-03
+43.50000E-06,-6.43216074E-03
+43.55000E-06,-5.62814064E-03
+43.60000E-06,-5.62814064E-03
+43.65000E-06,-5.62814064E-03
+43.70000E-06,-5.62814064E-03
+43.75000E-06,-5.62814064E-03
+43.80000E-06,-5.62814064E-03
+43.85000E-06,-5.62814064E-03
+43.90000E-06,-5.62814064E-03
+43.95000E-06,-5.62814064E-03
+44.00000E-06,-4.82412055E-03
+44.05000E-06,-4.92462306E-03
+44.10000E-06,-4.82412055E-03
+44.15000E-06,-5.62814064E-03
+44.20000E-06,-5.62814064E-03
+44.25000E-06,-4.82412055E-03
+44.30000E-06,-4.82412055E-03
+44.35000E-06,-5.62814064E-03
+44.40000E-06,-5.62814064E-03
+44.45000E-06,-4.82412055E-03
+44.50000E-06,-4.82412055E-03
+44.55000E-06,-4.82412055E-03
+44.60000E-06,-4.82412055E-03
+44.65000E-06,-4.82412055E-03
+44.70000E-06,-4.02010046E-03
+44.75000E-06,-4.82412055E-03
+44.80000E-06,-4.82412055E-03
+44.85000E-06,-4.82412055E-03
+44.90000E-06,-4.82412055E-03
+44.95000E-06,-4.82412055E-03
+45.00000E-06,-4.82412055E-03
+45.05000E-06,-4.82412055E-03
+45.10000E-06,-4.72361804E-03
+45.15000E-06,-4.02010046E-03
+45.20000E-06,-4.02010046E-03
+45.25000E-06,-3.21608037E-03
+45.30000E-06,-4.02010046E-03
+45.35000E-06,-3.21608037E-03
+45.40000E-06,-4.02010046E-03
+45.45000E-06,-3.31658288E-03
+45.50000E-06,-4.02010046E-03
+45.55000E-06,-3.21608037E-03
+45.60000E-06,-3.21608037E-03
+45.65000E-06,-3.21608037E-03
+45.70000E-06,-3.21608037E-03
+45.75000E-06,-3.21608037E-03
+45.80000E-06,-3.21608037E-03
+45.85000E-06,-3.21608037E-03
+45.90000E-06,-3.21608037E-03
+45.95000E-06,-3.21608037E-03
+46.00000E-06,-4.02010046E-03
+46.05000E-06,-3.21608037E-03
+46.10000E-06,-3.91959795E-03
+46.15000E-06,-3.21608037E-03
+46.20000E-06,-3.21608037E-03
+46.25000E-06,-3.21608037E-03
+46.30000E-06,-3.21608037E-03
+46.35000E-06,-3.21608037E-03
+46.40000E-06,-3.21608037E-03
+46.45000E-06,-3.21608037E-03
+46.50000E-06,-2.41206028E-03
+46.55000E-06,-2.41206028E-03
+46.60000E-06,-1.60804018E-03
+46.65000E-06,-1.60804018E-03
+46.70000E-06,-1.50753767E-03
+46.75000E-06,-804.02009E-06
+46.80000E-06,+0.0E+00
+46.85000E-06,+0.0E+00
+46.90000E-06,-804.02009E-06
+46.95000E-06,-804.02009E-06
+47.00000E-06,+0.0E+00
+47.05000E-06,+0.0E+00
+47.10000E-06,+0.0E+00
+47.15000E-06,+0.0E+00
+47.20000E-06,+804.02009E-06
+47.25000E-06,+0.0E+00
+47.30000E-06,+0.0E+00
+47.35000E-06,+703.51758E-06
+47.40000E-06,-703.51758E-06
+47.45000E-06,+0.0E+00
+47.50000E-06,+0.0E+00
+47.55000E-06,+0.0E+00
+47.60000E-06,+0.0E+00
+47.65000E-06,+0.0E+00
+47.70000E-06,-804.02009E-06
+47.75000E-06,-804.02009E-06
+47.80000E-06,-804.02009E-06
+47.85000E-06,-804.02009E-06
+47.90000E-06,-804.02009E-06
+47.95000E-06,-1.60804018E-03
+48.00000E-06,-1.60804018E-03
+48.05000E-06,-2.41206028E-03
+48.10000E-06,-2.41206028E-03
+48.15000E-06,-2.41206028E-03
+48.20000E-06,-3.21608037E-03
+48.25000E-06,-3.21608037E-03
+48.30000E-06,-4.02010046E-03
+48.35000E-06,-4.82412055E-03
+48.40000E-06,-5.62814064E-03
+48.45000E-06,-7.23618083E-03
+48.50000E-06,-8.04020092E-03
+48.55000E-06,-8.04020092E-03
+48.60000E-06,-8.74371850E-03
+48.65000E-06,-8.84422101E-03
+48.70000E-06,-9.64824110E-03
+48.75000E-06,-10.45226119E-03
+48.80000E-06,-11.25628129E-03
+48.85000E-06,-12.06030138E-03
+48.90000E-06,-12.86432147E-03
+48.95000E-06,-13.66834156E-03
+49.00000E-06,-14.47236165E-03
+49.05000E-06,-14.47236165E-03
+49.10000E-06,-15.27638175E-03
+49.15000E-06,-16.08040184E-03
+49.20000E-06,-16.88442193E-03
+49.25000E-06,-17.68844202E-03
+49.30000E-06,-17.68844202E-03
+49.35000E-06,-18.49246211E-03
+49.40000E-06,-18.49246211E-03
+49.45000E-06,-19.29648221E-03
+49.50000E-06,-20.10050230E-03
+49.55000E-06,-20.10050230E-03
+49.60000E-06,-20.90452239E-03
+49.65000E-06,-21.70854248E-03
+49.70000E-06,-21.70854248E-03
+49.75000E-06,-21.70854248E-03
+49.80000E-06,-23.31658266E-03
+49.85000E-06,-22.51256257E-03
+49.90000E-06,-23.21608015E-03
+49.95000E-06,-23.31658266E-03
+50.00000E-06,-23.31658266E-03
+50.05000E-06,-23.31658266E-03
+50.10000E-06,-23.31658266E-03
+50.15000E-06,-24.12060276E-03
+50.20000E-06,-23.31658266E-03
+50.25000E-06,-22.51256257E-03
+50.30000E-06,-23.31658266E-03
+50.35000E-06,-22.61306508E-03
+50.40000E-06,-22.51256257E-03
+50.45000E-06,-22.51256257E-03
+50.50000E-06,-22.51256257E-03
+50.55000E-06,-21.70854248E-03
+50.60000E-06,-20.90452239E-03
+50.65000E-06,-20.90452239E-03
+50.70000E-06,-20.80401988E-03
+50.75000E-06,-19.29648221E-03
+50.80000E-06,-19.29648221E-03
+50.85000E-06,-18.49246211E-03
+50.90000E-06,-18.39195960E-03
+50.95000E-06,-17.68844202E-03
+51.00000E-06,-16.88442193E-03
+51.05000E-06,-15.97989933E-03
+51.10000E-06,-15.27638175E-03
+51.15000E-06,-14.47236165E-03
+51.20000E-06,-12.86432147E-03
+51.25000E-06,-12.06030138E-03
+51.30000E-06,-10.45226119E-03
+51.35000E-06,-9.64824110E-03
+51.40000E-06,-8.84422101E-03
+51.45000E-06,-7.23618083E-03
+51.50000E-06,-7.23618083E-03
+51.55000E-06,-5.52763813E-03
+51.60000E-06,-4.82412055E-03
+51.65000E-06,-3.21608037E-03
+51.70000E-06,-2.41206028E-03
+51.75000E-06,-804.02009E-06
+51.80000E-06,+0.0E+00
+51.85000E-06,+804.02009E-06
+51.90000E-06,+2.41206028E-03
+51.95000E-06,+3.91959795E-03
+52.00000E-06,+4.02010046E-03
+52.05000E-06,+5.62814064E-03
+52.10000E-06,+6.43216074E-03
+52.15000E-06,+8.04020092E-03
+52.20000E-06,+8.84422101E-03
+52.25000E-06,+9.64824110E-03
+52.30000E-06,+11.25628129E-03
+52.35000E-06,+12.06030138E-03
+52.40000E-06,+13.56783905E-03
+52.45000E-06,+14.47236165E-03
+52.50000E-06,+15.27638175E-03
+52.55000E-06,+16.08040184E-03
+52.60000E-06,+16.88442193E-03
+52.65000E-06,+18.49246211E-03
+52.70000E-06,+18.59296463E-03
+52.75000E-06,+20.10050230E-03
+52.80000E-06,+20.90452239E-03
+52.85000E-06,+21.70854248E-03
+52.90000E-06,+22.51256257E-03
+52.95000E-06,+23.31658266E-03
+53.00000E-06,+23.41708518E-03
+53.05000E-06,+24.82412034E-03
+53.10000E-06,+24.92462285E-03
+53.15000E-06,+25.02512536E-03
+53.20000E-06,+25.72864294E-03
+53.25000E-06,+26.53266303E-03
+53.30000E-06,+26.53266303E-03
+53.35000E-06,+26.53266303E-03
+53.40000E-06,+27.33668312E-03
+53.45000E-06,+28.14070322E-03
+53.50000E-06,+28.14070322E-03
+53.55000E-06,+28.94472331E-03
+53.60000E-06,+29.74874340E-03
+53.65000E-06,+29.74874340E-03
+53.70000E-06,+29.74874340E-03
+53.75000E-06,+30.55276349E-03
+53.80000E-06,+30.55276349E-03
+53.85000E-06,+31.35678358E-03
+53.90000E-06,+30.55276349E-03
+53.95000E-06,+30.55276349E-03
+54.00000E-06,+30.55276349E-03
+54.05000E-06,+31.25628107E-03
+54.10000E-06,+31.35678358E-03
+54.15000E-06,+31.35678358E-03
+54.20000E-06,+31.35678358E-03
+54.25000E-06,+31.35678358E-03
+54.30000E-06,+31.35678358E-03
+54.35000E-06,+32.06030116E-03
+54.40000E-06,+31.35678358E-03
+54.45000E-06,+31.35678358E-03
+54.50000E-06,+31.35678358E-03
+54.55000E-06,+30.55276349E-03
+54.60000E-06,+30.65326600E-03
+54.65000E-06,+30.55276349E-03
+54.70000E-06,+30.55276349E-03
+54.75000E-06,+29.74874340E-03
+54.80000E-06,+29.04522582E-03
+54.85000E-06,+28.94472331E-03
+54.90000E-06,+28.24120573E-03
+54.95000E-06,+28.14070322E-03
+55.00000E-06,+27.33668312E-03
+55.05000E-06,+27.33668312E-03
+55.10000E-06,+26.53266303E-03
+55.15000E-06,+26.53266303E-03
+55.20000E-06,+26.43216052E-03
+55.25000E-06,+26.53266303E-03
+55.30000E-06,+25.72864294E-03
+55.35000E-06,+24.92462285E-03
+55.40000E-06,+24.92462285E-03
+55.45000E-06,+24.12060276E-03
+55.50000E-06,+24.12060276E-03
+55.55000E-06,+24.12060276E-03
+55.60000E-06,+23.31658266E-03
+55.65000E-06,+22.51256257E-03
+55.70000E-06,+22.51256257E-03
+55.75000E-06,+22.51256257E-03
+55.80000E-06,+21.70854248E-03
+55.85000E-06,+21.70854248E-03
+55.90000E-06,+20.10050230E-03
+55.95000E-06,+20.80401988E-03
+56.00000E-06,+19.29648221E-03
+56.05000E-06,+19.29648221E-03
+56.10000E-06,+18.49246211E-03
+56.15000E-06,+18.49246211E-03
+56.20000E-06,+17.68844202E-03
+56.25000E-06,+17.68844202E-03
+56.30000E-06,+16.88442193E-03
+56.35000E-06,+16.88442193E-03
+56.40000E-06,+15.37688426E-03
+56.45000E-06,+15.17587923E-03
+56.50000E-06,+15.27638175E-03
+56.55000E-06,+13.66834156E-03
+56.60000E-06,+13.66834156E-03
+56.65000E-06,+13.66834156E-03
+56.70000E-06,+12.86432147E-03
+56.75000E-06,+12.86432147E-03
+56.80000E-06,+12.86432147E-03
+56.85000E-06,+12.86432147E-03
+56.90000E-06,+12.06030138E-03
+56.95000E-06,+12.06030138E-03
+57.00000E-06,+11.25628129E-03
+57.05000E-06,+11.25628129E-03
+57.10000E-06,+10.45226119E-03
+57.15000E-06,+10.45226119E-03
+57.20000E-06,+10.45226119E-03
+57.25000E-06,+10.45226119E-03
+57.30000E-06,+9.64824110E-03
+57.35000E-06,+9.64824110E-03
+57.40000E-06,+8.84422101E-03
+57.45000E-06,+9.64824110E-03
+57.50000E-06,+8.14070343E-03
+57.55000E-06,+8.04020092E-03
+57.60000E-06,+7.93969841E-03
+57.65000E-06,+7.23618083E-03
+57.70000E-06,+6.53266325E-03
+57.75000E-06,+6.43216074E-03
+57.80000E-06,+6.43216074E-03
+57.85000E-06,+6.43216074E-03
