second,Volt
-5.60000E-06,+8.04020092E-03
-5.55000E-06,+8.04020092E-03
-5.50000E-06,+8.04020092E-03
-5.45000E-06,+8.79396976E-03
-5.40000E-06,+8.04020092E-03
-5.35000E-06,+8.04020092E-03
-5.30000E-06,+8.04020092E-03
-5.25000E-06,+8.79396976E-03
-5.20000E-06,+8.04020092E-03
-5.15000E-06,+10.05025115E-03
-5.10000E-06,+8.04020092E-03
-5.05000E-06,+9.29648231E-03
-5.00000E-06,+8.04020092E-03
-4.95000E-06,+8.04020092E-03
-4.90000E-06,+9.29648231E-03
-4.85000E-06,+10.05025115E-03
-4.80000E-06,+8.04020092E-03
-4.75000E-06,+9.29648231E-03
-4.70000E-06,+8.04020092E-03
-4.65000E-06,+10.05025115E-03
-4.60000E-06,+9.29648231E-03
-4.55000E-06,+10.05025115E-03
-4.50000E-06,+8.04020092E-03
-4.45000E-06,+10.05025115E-03
-4.40000E-06,+10.05025115E-03
-4.35000E-06,+10.05025115E-03
-4.30000E-06,+8.04020092E-03
-4.25000E-06,+8.04020092E-03
-4.20000E-06,+10.05025115E-03
-4.15000E-06,+9.29648231E-03
-4.10000E-06,+8.04020092E-03
-4.05000E-06,+8.04020092E-03
-4.00000E-06,+8.79396976E-03
-3.95000E-06,+8.04020092E-03
-3.90000E-06,+10.05025115E-03
-3.85000E-06,+10.05025115E-03
-3.80000E-06,+9.29648231E-03
-3.75000E-06,+10.05025115E-03
-3.70000E-06,+10.05025115E-03
-3.65000E-06,+8.04020092E-03
-3.60000E-06,+8.04020092E-03
-3.55000E-06,+8.04020092E-03
-3.50000E-06,+8.04020092E-03
-3.45000E-06,+10.05025115E-03
-3.40000E-06,+8.04020092E-03
-3.35000E-06,+10.05025115E-03
-3.30000E-06,+8.04020092E-03
-3.25000E-06,+8.04020092E-03
-3.20000E-06,+8.04020092E-03
-3.15000E-06,+10.05025115E-03
-3.10000E-06,+10.05025115E-03
-3.05000E-06,+8.04020092E-03
-3.00000E-06,+8.04020092E-03
-2.95000E-06,+8.04020092E-03
-2.90000E-06,+6.03015069E-03
-2.85000E-06,+8.04020092E-03
-2.80000E-06,+8.04020092E-03
-2.75000E-06,+8.04020092E-03
-2.70000E-06,+8.04020092E-03
-2.65000E-06,+8.04020092E-03
-2.60000E-06,+8.04020092E-03
-2.55000E-06,+8.04020092E-03
-2.50000E-06,+8.04020092E-03
-2.45000E-06,+8.04020092E-03
-2.40000E-06,+8.79396976E-03
-2.35000E-06,+8.04020092E-03
-2.30000E-06,+8.04020092E-03
-2.25000E-06,+8.04020092E-03
-2.20000E-06,+9.29648231E-03
-2.15000E-06,+10.05025115E-03
-2.10000E-06,+8.04020092E-03
-2.05000E-06,+10.80401998E-03
-2.00000E-06,+10.05025115E-03
-1.95000E-06,+10.05025115E-03
-1.90000E-06,+10.05025115E-03
-1.85000E-06,+10.05025115E-03
-1.80000E-06,+10.05025115E-03
-1.75000E-06,+8.04020092E-03
-1.70000E-06,+8.79396976E-03
-1.65000E-06,+8.79396976E-03
-1.60000E-06,+8.04020092E-03
-1.55000E-06,+8.04020092E-03
-1.50000E-06,+8.04020092E-03
-1.45000E-06,+8.04020092E-03
-1.40000E-06,+9.29648231E-03
-1.35000E-06,+9.29648231E-03
-1.30000E-06,+6.78391953E-03
-1.25000E-06,+8.79396976E-03
-1.20000E-06,+8.04020092E-03
-1.15000E-06,+8.04020092E-03
-1.10000E-06,+8.79396976E-03
-1.05000E-06,+10.05025115E-03
-1.00000E-06,+8.04020092E-03
-950.00E-09,+8.04020092E-03
-900.00E-09,+10.05025115E-03
-850.00E-09,+10.05025115E-03
-800.00E-09,+8.04020092E-03
-750.00E-09,+9.29648231E-03
-700.00E-09,+10.05025115E-03
-650.00E-09,+8.04020092E-03
-600.00E-09,+6.03015069E-03
-550.00E-09,+6.03015069E-03
-500.00E-09,+6.03015069E-03
-450.00E-09,+4.77386930E-03
-400.00E-09,+4.02010046E-03
-350.00E-09,+2.01005023E-03
-300.00E-09,+0.0E+00
-250.00E-09,+0.0E+00
-200.00E-09,-2.01005023E-03
-150.00E-09,-6.03015069E-03
-100.00E-09,-11.30653254E-03
-50.00E-09,-27.38693438E-03
-0.0E+00,-50.25125574E-03
+50.00E-09,-83.66834081E-03
+100.00E-09,-122.61306401E-03
+150.00E-09,-170.85426953E-03
+200.00E-09,-221.60803783E-03
+250.00E-09,-255.27637918E-03
+300.00E-09,-255.27637918E-03
+350.00E-09,-255.27637918E-03
+400.00E-09,-255.27637918E-03
+450.00E-09,-255.27637918E-03
+500.00E-09,-255.27637918E-03
+550.00E-09,-255.27637918E-03
+600.00E-09,-255.27637918E-03
+650.00E-09,-255.27637918E-03
+700.00E-09,-255.27637918E-03
+750.00E-09,-255.27637918E-03
+800.00E-09,-255.27637918E-03
+850.00E-09,-255.27637918E-03
+900.00E-09,-200.50251042E-03
+950.00E-09,-96.73366731E-03
+1.00000E-06,-753.76884E-06
+1.05000E-06,+78.89447152E-03
+1.10000E-06,+129.89949610E-03
+1.15000E-06,+160.80401838E-03
+1.20000E-06,+176.88442022E-03
+1.25000E-06,+174.87436999E-03
+1.30000E-06,+161.55778721E-03
+1.35000E-06,+141.45728492E-03
+1.40000E-06,+116.58291332E-03
+1.45000E-06,+89.19597894E-03
+1.50000E-06,+61.05527573E-03
+1.55000E-06,+34.17085391E-03
+1.60000E-06,+8.79396976E-03
+1.65000E-06,-12.06030138E-03
+1.70000E-06,-30.15075345E-03
+1.75000E-06,-46.23115528E-03
+1.80000E-06,-52.26130597E-03
+1.85000E-06,-58.29145666E-03
+1.90000E-06,-60.30150689E-03
+1.95000E-06,-58.29145666E-03
+2.00000E-06,-52.26130597E-03
+2.05000E-06,-44.97487389E-03
+2.10000E-06,-36.18090414E-03
+2.15000E-06,-26.13065299E-03
+2.20000E-06,-16.08040184E-03
+2.25000E-06,-8.04020092E-03
+2.30000E-06,+0.0E+00
+2.35000E-06,+6.03015069E-03
+2.40000E-06,+8.04020092E-03
+2.45000E-06,+10.05025115E-03
+2.50000E-06,+11.30653254E-03
+2.55000E-06,+10.05025115E-03
+2.60000E-06,+8.04020092E-03
+2.65000E-06,+6.03015069E-03
+2.70000E-06,+6.03015069E-03
+2.75000E-06,+4.02010046E-03
+2.80000E-06,+4.02010046E-03
+2.85000E-06,+1.25628139E-03
+2.90000E-06,+0.0E+00
+2.95000E-06,-2.01005023E-03
+3.00000E-06,+0.0E+00
+3.05000E-06,+0.0E+00
+3.10000E-06,+2.01005023E-03
+3.15000E-06,+3.26633162E-03
+3.20000E-06,+4.02010046E-03
+3.25000E-06,+4.02010046E-03
+3.30000E-06,+6.03015069E-03
+3.35000E-06,+8.04020092E-03
+3.40000E-06,+8.04020092E-03
+3.45000E-06,+10.05025115E-03
+3.50000E-06,+10.05025115E-03
+3.55000E-06,+12.06030138E-03
+3.60000E-06,+12.81407021E-03
+3.65000E-06,+12.06030138E-03
+3.70000E-06,+12.06030138E-03
+3.75000E-06,+12.06030138E-03
+3.80000E-06,+12.06030138E-03
+3.85000E-06,+10.05025115E-03
+3.90000E-06,+10.05025115E-03
+3.95000E-06,+10.05025115E-03
+4.00000E-06,+10.05025115E-03
+4.05000E-06,+8.79396976E-03
+4.10000E-06,+10.05025115E-03
+4.15000E-06,+10.05025115E-03
+4.20000E-06,+8.04020092E-03
+4.25000E-06,+8.04020092E-03
+4.30000E-06,+9.29648231E-03
+4.35000E-06,+8.79396976E-03
+4.40000E-06,+8.04020092E-03
+4.45000E-06,+8.04020092E-03
+4.50000E-06,+10.05025115E-03
+4.55000E-06,+9.29648231E-03
+4.60000E-06,+10.05025115E-03
+4.65000E-06,+10.05025115E-03
+4.70000E-06,+10.80401998E-03
+4.75000E-06,+12.06030138E-03
+4.80000E-06,+10.05025115E-03
+4.85000E-06,+10.05025115E-03
+4.90000E-06,+10.05025115E-03
+4.95000E-06,+12.06030138E-03
+5.00000E-06,+10.80401998E-03
+5.05000E-06,+10.05025115E-03
+5.10000E-06,+12.06030138E-03
+5.15000E-06,+9.29648231E-03
+5.20000E-06,+10.05025115E-03
+5.25000E-06,+9.29648231E-03
